fips,population,year,county,sex,age,ci,aci,rate,ageAdjust,count,
"27027","84801","2015-2017","Clay","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","38.7","40.4","328.36",,
"27027","86694","2016-2018","Clay","All","All Ages 35+ Combined                                                 ","(33.7 - 41.9)","(34.1 - 43.6)","37.8","38.9","328.03",,
"27027","88014","2017-2019","Clay","All","All Ages 35+ Combined                                                 ","(35.2 - 43.5)","(31.6 - 39.3)","39.3","35.4","346.06",,
"27027","89438","2018-2020","Clay","All","All Ages 35+ Combined                                                 ","(37.6 - 46.0)","(33.5 - 41.3)","41.8","37.4","373.91",,
"27027","29940","2020","Clay","All","All Ages 35+ Combined                                                 ","(32.3 - 46.6)","(29.3 - 42.6)","39.5","36","118.14",,
"27029","14460","2008-2010","Clearwater","All","All Ages 35+ Combined                                                 ","(34.7 - 57.3)","(27.3 - 45.6)","45","35.6","65",,
"27029","15293","2011-2013","Clearwater","All","All Ages 35+ Combined                                                 ","(28.8 - 49.0)","(24.9 - 43.5)","37.9","33.2","58",,
"27029","15265","2013-2015","Clearwater","All","All Ages 35+ Combined                                                 ","(44.5 - 68.9)","(36.8 - 58.5)","55.7","46.7","85",,
"27029","14852","2015-2017","Clearwater","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","40.3","42.3","59.79",,
"27029","14831","2016-2018","Clearwater","All","All Ages 35+ Combined                                                 ","(39.7 - 63.3)","(38.8 - 66.1)","50.4","51.1","74.82",,
"27029","15084","2017-2019","Clearwater","All","All Ages 35+ Combined                                                 ","(41.4 - 65.2)","(33.0 - 53.2)","52.3","42.2","78.96",,
"27029","15399","2018-2020","Clearwater","All","All Ages 35+ Combined                                                 ","(51.4 - 77.2)","(38.3 - 58.6)","63.3","47.7","97.5",,
"27029","5160","2020","Clearwater","All","All Ages 35+ Combined                                                 ","(40.0 - 84.1)","(30.1 - 65.6)","59.1","45.3","30.48",,
"27031","10665","2008-2010","Cook","All","All Ages 35+ Combined                                                 ","(26.8 - 51.1)","(23.2 - 44.8)","37.5","32.7","40",,
"27031","10648","2011-2013","Cook","All","All Ages 35+ Combined                                                 ","(20.6 - 42.4)","(15.9 - 34.5)","30.1","23.9","32",,
"27031","10718","2013-2015","Cook","All","All Ages 35+ Combined                                                 ","(18.9 - 40.0)","(13.6 - 30.7)","28","20.9","30",,
"27031","10573","2015-2017","Cook","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","25.5","22.4","27",,
"27031","10695","2016-2018","Cook","All","All Ages 35+ Combined                                                 ","(14.4 - 33.4)","(9.7 - 27.0)","22.4","16.8","24",,
"27031","10896","2017-2019","Cook","All","All Ages 35+ Combined                                                 ","(17.8 - 38.2)","(12.4 - 28.3)","26.6","19.2","29",,
"27031","11028","2018-2020","Cook","All","All Ages 35+ Combined                                                 ","(22.1 - 44.1)","(14.8 - 31.2)","31.7","21.9","35",,
"27031","3660","2020","Cook","All","All Ages 35+ Combined                                                 ","null","null","null","null","null",,
"27033","20094","2008-2010","Cottonwood","All","All Ages 35+ Combined                                                 ","(34.2 - 52.9)","(27.9 - 44.6)","42.8","35.5","86",,
"27033","20874","2011-2013","Cottonwood","All","All Ages 35+ Combined                                                 ","(40.7 - 59.9)","(28.4 - 43.1)","50.3","35.8","105",,
"27033","20641","2013-2015","Cottonwood","All","All Ages 35+ Combined                                                 ","(35.9 - 54.7)","(23.9 - 37.6)","44.6","30.2","92",,
"27033","19509","2015-2017","Cottonwood","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","20.2","13.9","39.46",,
"27033","19150","2016-2018","Cottonwood","All","All Ages 35+ Combined                                                 ","(6.3 - 16.0)","(4.2 - 12.1)","10.4","7.4","19.84",,
"27033","19483","2017-2019","Cottonwood","All","All Ages 35+ Combined                                                 ","(14.0 - 27.1)","(10.1 - 20.9)","19.8","14.8","38.53",,
"27033","19843","2018-2020","Cottonwood","All","All Ages 35+ Combined                                                 ","(28.9 - 46.3)","(20.0 - 33.4)","36.8","26","73.11",,
"27033","6608","2020","Cottonwood","All","All Ages 35+ Combined                                                 ","(36.9 - 73.6)","(24.2 - 50.4)","52.9","35.6","34.98",,
"27035","106339","2008-2010","Crow Wing","All","All Ages 35+ Combined                                                 ","(49.5 - 58.3)","(39.9 - 47.2)","53.9","43.6","573",,
"27035","110873","2011-2013","Crow Wing","All","All Ages 35+ Combined                                                 ","(46.8 - 55.2)","(37.1 - 44.0)","51","40.5","565",,
"27035","112636","2013-2015","Crow Wing","All","All Ages 35+ Combined                                                 ","(48.6 - 57.1)","(38.0 - 44.9)","52.8","41.4","595",,
