Population,Poverty,Child Poverty,state,county,year
30408.0,3957.0,2035.0,27,119,2014
15256.0,1572.0,875.0,27,135,2014
14858.0,1609.0,926.0,27,143,2014
10990.0,1083.0,727.0,27,165,2014
32431.0,4364.0,2448.0,27,005,2014
5053.0,668.0,450.0,27,011,2014
24318.0,2044.0,1148.0,27,015,2014
28073.0,4781.0,2606.0,27,021,2014
20215.0,2148.0,1268.0,27,091,2014
45391.0,4738.0,2532.0,27,049,2014
20344.0,2561.0,1274.0,27,057,2014
10097.0,1118.0,561.0,27,063,2014
21249.0,3448.0,1820.0,27,105,2014
27593.0,4198.0,2175.0,27,115,2014
87656.0,6826.0,3954.0,27,141,2014
13455.0,2308.0,1230.0,27,159,2014
38343.0,5442.0,3123.0,27,009,2014
93315.0,4064.0,2224.0,27,019,2014
30561.0,3514.0,2135.0,27,047,2014
44346.0,5829.0,2997.0,27,061,2014
35599.0,2786.0,1497.0,27,085,2014
10724.0,1033.0,572.0,27,121,2014
507466.0,85504.0,46134.0,27,123,2014
9244.0,1590.0,838.0,27,149,2014
9425.0,983.0,598.0,27,151,2014
47160.0,7109.0,3622.0,27,169,2014
11362.0,1846.0,1040.0,27,033,2014
133665.0,7616.0,4155.0,27,139,2014
20126.0,1349.0,758.0,27,039,2014
21271.0,1612.0,860.0,27,157,2014
9181.0,1078.0,683.0,27,117,2014
62087.0,7330.0,3815.0,27,035,2014
6566.0,856.0,469.0,27,107,2014
126373.0,7950.0,4605.0,27,171,2014
30526.0,3263.0,1566.0,27,103,2014
5896.0,585.0,348.0,27,051,2014
4370.0,448.0,259.0,27,069,2014
5405.0,1445.0,742.0,27,087,2014
15536.0,1654.0,895.0,27,127,2014
10006.0,1318.0,744.0,27,173,2014
43111.0,8828.0,4737.0,27,007,2014
61303.0,11569.0,6027.0,27,013,2014
6938.0,574.0,320.0,27,073,2014
3922.0,281.0,96.0,27,077,2014
17926.0,1770.0,968.0,27,161,2014
332713.0,25217.0,13213.0,27,003,2014
