pwsId,year,analyteCode,pwsName,countyServed,cityServed,waterSource,mean,max,populationServed,fips,
"1070015","1998","Radium","Pemberton","Blue Earth","Pemberton","Groundwater","1.8 pCi/L","1.8 pCi/L","247","27013"
"1070018","1998","Radium","Skyline","Blue Earth","Skyline","Groundwater","null","null","297","27013"
"1070017","1998","Radium","Saint Clair","Blue Earth","St. Clair","Groundwater","null","null","875","27013"
"1070019","1998","Radium","Vernon Center","Blue Earth","Vernon Center","Groundwater","null","null","332","27013"
"1080010","1998","Radium","Cobden","Brown","Cobden","Groundwater","null","null","36","27015"
"1080001","1998","Radium","Comfrey","Brown","Comfrey","Groundwater","null","null","375","27015"
"1080009","1998","Radium","Evan","Brown","Evan","Purchased Groundwater","null","null","86","27015"
"1080002","1998","Radium","Hanska","Brown","Hanska","Groundwater","null","null","393","27015"
"1080003","1998","Radium","New Ulm","Brown","New Ulm","Groundwater","null","null","13522","27015"
"1080004","1998","Radium","Skyview Mobile Villa","Brown","New Ulm","Groundwater","11.55 pCi/L","13.0 pCi/L","90","27015"
"1080005","1998","Radium","Sleepy Eye","Brown","Sleepy Eye","Groundwater","null","null","3599","27015"
"1080008","1998","Radium","Springfield","Brown","Springfield","Groundwater","null","null","2129","27015"
"1090001","1998","Radium","Barnum","Carlton","Barnum","Groundwater","null","null","525","27017"
"1090003","1998","Radium","Carlton","Carlton","Carlton","Groundwater","null","null","987","27017"
"1090005","1998","Radium","Cloquet","Carlton","Cloquet","Groundwater","null","null","12156","27017"
"1090007","1998","Radium","Cromwell","Carlton","Cromwell","Groundwater","0.2 pCi/L","0.2 pCi/L","229","27017"
"1090008","1998","Radium","Kettle River","Carlton","Kettle River","Groundwater","null","null","180","27017"
"1090009","1998","Radium","Moose Lake","Carlton","Moose Lake","Groundwater","null","null","1259","27017"
"1090010","1998","Radium","MN Correctional Facility - Moose Lake","Carlton","Moose Lake","Groundwater","null","null","975","27017"
"1090011","1998","Radium","Scanlon","Carlton","Scanlon","Purchased Groundwater","null","null","987","27017"
"1090013","1998","Radium","Wrenshall","Carlton","Wrenshall","Groundwater","null","null","399","27017"
"1100017","1998","Radium","Carver","Carver","Carver","Groundwater","null","null","4000","27019"
"1100001","1998","Radium","Chanhassen","Carver","Chanhassen","Groundwater","null","null","23179","27019"
"1100002","1998","Radium","Chaska","Carver","Chaska","Groundwater","2.7 pCi/L","5.1 pCi/L","24048","27019"
"1100004","1998","Radium","Cologne","Carver","Cologne","Groundwater","null","null","1519","27019"
"1100005","1998","Radium","Hamburg","Carver","Hamburg","Groundwater","null","null","525","27019"
"1100006","1998","Radium","Mayer","Carver","Mayer","Groundwater","null","null","1767","27019"
"1100007","1998","Radium","New Germany","Carver","New Germany","Groundwater","4.2 pCi/L","5.4 pCi/L","373","27019"
"1100019","1998","Radium","Norwood-Young America","Carver","Norwood Young America","Groundwater","null","null","3583","27019"
"1100015","1998","Radium","Crown College","Carver","St. Bonifacius","Groundwater","null","null","520","27019"
"1100009","1998","Radium","Victoria","Carver","Victoria","Groundwater","null","null","8462","27019"
"1100010","1998","Radium","Waconia","Carver","Waconia","Groundwater","0.34 pCi/L (ND)","0.34 pCi/L (ND)","11065","27019"
"1100012","1998","Radium","Watertown","Carver","Watertown","Groundwater","null","null","4216","27019"
"1110002","1998","Radium","Backus","Cass","Backus","Groundwater","null","null","250","27021"
"1110006","1998","Radium","Cass Lake","Cass","Cass Lake","Groundwater","null","null","761","27021"
"1111112","1998","Radium","East Point Townhomes","Cass","East Gull Lake","Groundwater","null","null","75","27021"
"1110008","1998","Radium","Hackensack","Cass","Hackensack","Groundwater","null","null","313","27021"
"1110034","1998","Radium","Townsedge Estates","Cass","Longville","Groundwater","null","null","65","27021"
"1110030","1998","Radium","Pillager","Cass","Pillager","Groundwater","null","null","495","27021"
"1110019","1998","Radium","Pine River","Cass","Pine River","Groundwater","null","null","944","27021"
"1110011","1998","Radium","Remer","Cass","Remer","Groundwater","null","null","369","27021"
"1110013","1998","Radium","Walker","Cass","Walker","Groundwater","null","null","941","27021"
"1110033","1998","Radium","Timberlane Estates","Cass","Walker","Groundwater","null","null","64","27021"
"1120001","1998","Radium","Clara City","Chippewa","Clara City","Groundwater","null","null","1360","27023"
"1120002","1998","Radium","Maynard","Chippewa","Maynard","Groundwater","null","null","388","27023"
"1120003","1998","Radium","Milan","Chippewa","Milan","Groundwater","null","null","369","27023"
"1120004","1998","Radium","Montevideo","Chippewa","Montevideo","Groundwater","1.0 pCi/L","1.0 pCi/L","5343","27023"
"1120006","1998","Radium","Watson","Chippewa","Watson","Groundwater","2.96 pCi/L","4.2 pCi/L","205","27023"
"1130001","1998","Radium","Center City","Chisago","Center City","Groundwater","null","null","629","27025"
"1130002","1998","Radium","Hazelden Foundation","Chisago","Center City","Groundwater","null","null","452","27025"
"1130003","1998","Radium","Chisago City","Chisago","Chisago City","Groundwater","null","null","3896","27025"
"1130023","1998","Radium","Preserve at Birch Lake","Chisago","Chisago City","Groundwater","null","null","220","27025"
"1130005","1998","Radium","Harris","Chisago","Harris","Groundwater","9.0 pCi/L","10.2 pCi/L","378","27025"
"1130006","1998","Radium","Peaceful Valley Mobile Home Park","Chisago","Harris","Groundwater","null","null","50","27025"
"1130007","1998","Radium","Lindstrom","Chisago","Lindstrom","Groundwater","null","null","4431","27025"
"1130008","1998","Radium","Stonegate Co-op, Inc.","Chisago","Lindstrom","Groundwater","null","null","128","27025"
"1130009","1998","Radium","Elms Estates, Inc.","Chisago","Lindstrom","Groundwater","null","null","53","27025"
"1130010","1998","Radium","Blue Waters Mobile Home Park","Chisago","Lindstrom","Groundwater","null","null","150","27025"
"1130011","1998","Radium","North Branch","Chisago","North Branch","Groundwater","null","null","6819","27025"
"1130013","1998","Radium","Rush City","Chisago","Rush City","Groundwater","7.0 pCi/L","7.8 pCi/L","3079","27025"
"1130021","1998","Radium","Shorewood Park","Chisago","Rush City","Groundwater","4.26 pCi/L","5.3 pCi/L","80","27025"
"1130014","1998","Radium","Shafer","Chisago","Shafer","Groundwater","null","null","1045","27025"
"1130016","1998","Radium","Stacy","Chisago","Stacy","Groundwater","null","null","1426","27025"
"1130017","1998","Radium","Taylors Falls","Chisago","Taylors Falls","Groundwater","null","null","967","27025"
"1130018","1998","Radium","Wyoming","Chisago","Wyoming","Groundwater","null","null","3540","27025"
"1130019","1998","Radium","Birchwood Terrace","Chisago","Wyoming","Groundwater","null","null","200","27025"
"1130020","1998","Radium","River Bend Mobile Home Park, Inc.","Chisago","Wyoming","Groundwater","null","null","100","27025"
"1130024","1998","Radium","Liberty Ponds Development","Chisago","Wyoming","Groundwater","null","null","45","27025"
"1140001","1998","Radium","Barnesville","Clay","Barnesville","Groundwater","null","null","2600","27027"
"1140002","1998","Radium","Comstock","Clay","Comstock","Groundwater","null","null","95","27027"
"1140003","1998","Radium","Dilworth","Clay","Dilworth","Purchased Surface Water","null","null","4024","27027"
"1140012","1998","Radium","Felton","Clay","Felton","Groundwater","null","null","171","27027"
"1140014","1998","Radium","Georgetown","Clay","Georgetown","Groundwater","null","null","100","27027"
"1140005","1998","Radium","Glyndon","Clay","Glyndon","Groundwater","null","null","1393","27027"
"1140016","1998","Radium","John Bouton Housing Development","Clay","Glyndon","Groundwater","null","null","69","27027"
"1140020","1998","Radium","Spring Prairie Colony","Clay","Glyndon","Groundwater","null","null","170","27027"
"1140006","1998","Radium","Hawley","Clay","Hawley","Groundwater","null","null","2094","27027"
"1140007","1998","Radium","Hitterdal","Clay","Hitterdal","Groundwater","null","null","201","27027"
"1140008","1998","Radium","Moorhead","Clay","Moorhead","Surface Water","null","null","40000","27027"
"1140010","1998","Radium","Sabin","Clay","Sabin","Groundwater","null","null","522","27027"
"1140011","1998","Radium","Ulen","Clay","Ulen","Groundwater","null","null","547","27027"
"1150001","1998","Radium","Bagley","Clearwater","Bagley","Groundwater","null","null","1407","27029"
"1150003","1998","Radium","Clearbrook","Clearwater","Clearbrook","Groundwater","null","null","519","27029"
"1150005","1998","Radium","Gonvick","Clearwater","Gonvick","Groundwater","null","null","284","27029"
"1160001","1998","Radium","Grand Marais","Cook","Grand Marais","Surface Water","null","null","1419","27031"
"1160006","1998","Radium","Pine Mountain Mobile Home Court","Cook","Grand Marais","Groundwater","null","null","60","27031"
"1170008","1998","Radium","Bingham Lake","Cottonwood","Bingham Lake","Groundwater","null","null","126","27033"
"1170010","1998","Radium","Delft","Cottonwood","Delft","Purchased Groundwater","null","null","58","27033"
"1170002","1998","Radium","Jeffers","Cottonwood","Jeffers","Groundwater","null","null","369","27033"
"1170009","1998","Radium","Red Rock Rural Water System","Cottonwood","Jeffers","Groundwater","null","null","7897","27033"
"1170003","1998","Radium","Mountain Lake","Cottonwood","Mountain Lake","Groundwater","0.4 pCi/L","0.4 pCi/L","2100","27033"
"1170011","1998","Radium","Neuhof Hutterian Brethren","Cottonwood","Mountain Lake","Groundwater","4.1 pCi/L","4.1 pCi/L","55","27033"
"1170004","1998","Radium","Storden","Cottonwood","Storden","Purchased Groundwater","null","null","215","27033"
"1170005","1998","Radium","Westbrook","Cottonwood","Westbrook","Groundwater","null","null","733","27033"
"1170006","1998","Radium","Windom","Cottonwood","Windom","Groundwater","null","null","4646","27033"
"1180027","1998","Radium","Baxter","Crow Wing","Baxter","Groundwater","null","null","7610","27035"
"1180003","1998","Radium","Supreme Mobile Home Park","Crow Wing","Brainerd","Groundwater","null","null","35","27035"
"1180005","1998","Radium","Lazy Acres Trailer Park","Crow Wing","Brainerd","Groundwater","null","null","50","27035"
"1180040","1998","Radium","Deer Run Mobile Resort","Crow Wing","Brainerd","Groundwater","null","null","32","27035"
"1180008","1998","Radium","Crosby","Crow Wing","Crosby","Groundwater","null","null","2386","27035"
"1180028","1998","Radium","Chatham Park","Crow Wing","Crosslake","Groundwater","null","null","84","27035"
"1180036","1998","Radium","Nelsons East Shore Landing","Crow Wing","Crosslake","Groundwater","null","null","45","27035"
"1180011","1998","Radium","Cuyuna","Crow Wing","Deerwood","Groundwater","null","null","124","27035"
"1180012","1998","Radium","Deerwood","Crow Wing","Deerwood","Groundwater","null","null","532","27035"
"1180045","1998","Radium","Knieff's Shore Acres","Crow Wing","Deerwood","Groundwater","null","null","100","27035"
"1180016","1998","Radium","Bob's Trailer Park","Crow Wing","Garrison","Groundwater","null","null","90","27035"
"1180041","1998","Radium","Garrison Trailer Park, Inc.","Crow Wing","Garrison","Groundwater","null","null","40","27035"
"1180017","1998","Radium","Ironton","Crow Wing","Ironton","Groundwater","null","null","572","27035"
"1180032","1998","Radium","Interlachen","Crow Wing","Nisswa","Groundwater","null","null","50","27035"
"1180035","1998","Radium","White Pine Villas","Crow Wing","Nisswa","Groundwater","null","null","29","27035"
"1180042","1998","Radium","Hills Crossing Senior Living","Crow Wing","Nisswa","Groundwater","null","null","42","27035"
"1180019","1998","Radium","Pequot Lakes","Crow Wing","Pequot Lakes","Groundwater","null","null","1200","27035"
"1180034","1998","Radium","Heritage House of Pequot Lakes","Crow Wing","Pequot Lakes","Groundwater","null","null","130","27035"
