,year,countyServed,max radium pCi/L
405,2004,Wilkin,1.1
406,2004,Winona,8.3
407,2004,Wright,7.0
408,2004,Yellow Medicine,0.45
409,2005,Aitkin,1.5
410,2005,Anoka,22.8
411,2005,Becker,2.5
412,2005,Beltrami,1.7
413,2005,Benton,1.5
414,2005,Big Stone,1.8
415,2005,Blue Earth,5.6
416,2005,Brown,1.3
417,2005,Carlton,1.2
418,2005,Carver,9.2
419,2005,Cass,1.04
420,2005,Chippewa,4.1
421,2005,Chisago,9.4
422,2005,Clay,1.4
423,2005,Clearwater,2.3
424,2005,Cook,0.5
425,2005,Cottonwood,5.3
426,2005,Crow Wing,3.1
427,2005,Dakota,9.4
428,2005,Dodge,4.8
429,2005,Douglas,2.0
430,2005,Faribault,6.7
431,2005,Fillmore,6.3
432,2005,Freeborn,6.1
433,2005,Goodhue,4.6
434,2005,Grant,2.5
435,2005,Hennepin,8.6
436,2005,Houston,9.3
437,2005,Hubbard,1.0
438,2005,Isanti,6.6
439,2005,Itasca,3.8
440,2005,Jackson,2.4
441,2005,Kanabec,0.5
442,2005,Kandiyohi,4.5
443,2005,Kittson,2.7
444,2005,Koochiching,1.0
445,2005,Lac Qui Parle,0.4
446,2005,Lake,1.7
447,2005,Lake of the Woods,1.1
448,2005,Le Sueur,8.3
449,2005,Lincoln,0.45
450,2005,Lyon,2.0
451,2005,Mahnomen,0.97
452,2005,Marshall,5.0
453,2005,Martin,4.4
454,2005,McLeod,4.4
455,2005,Meeker,3.0
456,2005,Mille Lacs,1.0
457,2005,Morrison,0.9
458,2005,Mower,3.7
459,2005,Murray,1.0
460,2005,Nicollet,4.0
461,2005,Nobles,2.6
462,2005,Norman,0.5
463,2005,Olmsted,6.0
464,2005,Otter Tail,2.5
465,2005,Pennington,2.3
466,2005,Pine,21.0
467,2005,Pipestone,1.4
468,2005,Polk,5.0
469,2005,Pope,1.9
470,2005,Ramsey,6.4
471,2005,Red Lake,0.79
472,2005,Redwood,2.2
473,2005,Renville,2.8
474,2005,Rice,4.5
475,2005,Rock,0.6
476,2005,Roseau,1.2
477,2005,Scott,10.2
478,2005,Sherburne,4.3
479,2005,Sibley,2.4
480,2005,St. Louis,4.6
481,2005,Stearns,3.9
482,2005,Steele,5.8
483,2005,Stevens,0.2
484,2005,Swift,1.7
485,2005,Todd,0.9
486,2005,Traverse,0.5
487,2005,Wabasha,4.1
488,2005,Wadena,0.38
489,2005,Waseca,5.9
490,2005,Washington,6.9
491,2005,Watonwan,3.3
492,2005,Wilkin,1.1
493,2005,Winona,15.3
494,2005,Wright,7.0
495,2005,Yellow Medicine,0.45
496,2007,Aitkin,1.5
497,2007,Anoka,18.4
498,2007,Becker,2.5
499,2007,Beltrami,1.5
500,2007,Benton,0.5
501,2007,Big Stone,1.8
502,2007,Blue Earth,5.6
503,2007,Brown,2.0
504,2007,Carlton,1.2
505,2007,Carver,4.7
506,2007,Cass,1.04
507,2007,Chippewa,4.1
508,2007,Chisago,6.1
509,2007,Clay,1.4
510,2007,Clearwater,2.3
511,2007,Cook,0.5
512,2007,Cottonwood,5.3
513,2007,Crow Wing,1.0
514,2007,Dakota,9.4
515,2007,Dodge,2.8
516,2007,Douglas,2.0
517,2007,Faribault,6.7
518,2007,Fillmore,6.3
519,2007,Freeborn,6.1
520,2007,Goodhue,9.6
521,2007,Grant,2.5
522,2007,Hennepin,10.4
523,2007,Houston,13.0
524,2007,Hubbard,1.0
525,2007,Isanti,6.6
526,2007,Itasca,4.4
527,2007,Jackson,2.4
528,2007,Kanabec,0.5
529,2007,Kandiyohi,4.5
530,2007,Kittson,3.8
531,2007,Koochiching,1.0
532,2007,Lac Qui Parle,1.2
533,2007,Lake,1.7
534,2007,Lake of the Woods,1.1
535,2007,Le Sueur,8.3
536,2007,Lincoln,1.2
537,2007,Lyon,1.2
538,2007,Mahnomen,0.97
539,2007,Marshall,3.2
540,2007,Martin,4.4
541,2007,McLeod,4.4
542,2007,Meeker,1.3
543,2007,Mille Lacs,1.0
544,2007,Morrison,0.9
545,2007,Mower,5.8
546,2007,Murray,1.0
547,2007,Nicollet,4.0
548,2007,Nobles,2.6
549,2007,Norman,0.5
550,2007,Olmsted,5.9
551,2007,Otter Tail,2.5
552,2007,Pennington,1.5
553,2007,Pine,21.0
554,2007,Pipestone,4.6
555,2007,Polk,2.1
556,2007,Pope,1.9
557,2007,Ramsey,6.4
558,2007,Red Lake,0.79
559,2007,Redwood,2.8
560,2007,Renville,2.8
561,2007,Rice,9.3
562,2007,Rock,1.6
563,2007,Roseau,1.2
564,2007,Scott,6.3
565,2007,Sherburne,3.4
566,2007,Sibley,5.1
567,2007,St. Louis,4.5
568,2007,Stearns,3.9
569,2007,Steele,6.7
570,2007,Stevens,0.2
571,2007,Swift,1.7
572,2007,Todd,0.9
573,2007,Traverse,0.5
574,2007,Wabasha,4.1
575,2007,Wadena,0.38
576,2007,Waseca,5.9
577,2007,Washington,6.9
578,2007,Watonwan,4.9
579,2007,Wilkin,1.1
580,2007,Winona,15.3
581,2007,Wright,3.6
582,2007,Yellow Medicine,1.2
583,2008,Aitkin,1.5
584,2008,Anoka,18.4
585,2008,Becker,2.1
586,2008,Beltrami,1.4
587,2008,Benton,0.5
588,2008,Big Stone,1.8
589,2008,Blue Earth,5.3
590,2008,Brown,1.9
591,2008,Carlton,1.2
592,2008,Carver,4.4
593,2008,Cass,0.95
594,2008,Chippewa,4.1
595,2008,Chisago,6.2
596,2008,Clay,1.4
597,2008,Clearwater,2.3
598,2008,Cook,0.5
599,2008,Cottonwood,2.1
600,2008,Crow Wing,1.4
601,2008,Dakota,5.0
602,2008,Dodge,2.9
603,2008,Douglas,2.8
604,2008,Faribault,5.1
605,2008,Fillmore,6.3
606,2008,Freeborn,6.1
607,2008,Goodhue,4.6
608,2008,Grant,2.5
609,2008,Hennepin,9.5
610,2008,Houston,4.1
611,2008,Hubbard,1.0
612,2008,Isanti,6.7
613,2008,Itasca,4.4
614,2008,Jackson,2.4
615,2008,Kanabec,1.3
616,2008,Kandiyohi,6.2
617,2008,Kittson,3.8
618,2008,Koochiching,1.0
619,2008,Lac Qui Parle,1.2
620,2008,Lake,1.7
621,2008,Lake of the Woods,1.1
622,2008,Le Sueur,5.7
623,2008,Lincoln,1.2
624,2008,Lyon,1.2
625,2008,Mahnomen,0.97
626,2008,Marshall,3.2
627,2008,Martin,3.6
628,2008,McLeod,4.4
629,2008,Meeker,1.3
630,2008,Mille Lacs,1.3
631,2008,Morrison,0.5
632,2008,Mower,4.3
633,2008,Murray,0.5
634,2008,Nicollet,2.5
635,2008,Nobles,2.6
636,2008,Norman,0.5
637,2008,Olmsted,4.3
638,2008,Otter Tail,4.4
639,2008,Pennington,1.5
640,2008,Pine,21.0
641,2008,Pipestone,1.2
642,2008,Polk,2.1
643,2008,Pope,1.9
644,2008,Ramsey,6.4
645,2008,Red Lake,0.5
646,2008,Redwood,2.2
647,2008,Renville,4.2
648,2008,Rice,7.7
649,2008,Rock,1.6
650,2008,Roseau,2.3
651,2008,Scott,6.1
652,2008,Sherburne,2.6
653,2008,Sibley,1.9
654,2008,St. Louis,4.5
655,2008,Stearns,3.8
656,2008,Steele,6.7
657,2008,Stevens,0.5
658,2008,Swift,1.7
659,2008,Todd,2.1
660,2008,Traverse,1.5
661,2008,Wabasha,4.1
662,2008,Wadena,3.1
663,2008,Waseca,5.9
664,2008,Washington,5.2
665,2008,Watonwan,4.9
666,2008,Wilkin,1.1
667,2008,Winona,15.3
668,2008,Wright,3.6
669,2008,Yellow Medicine,1.2
670,2009,Aitkin,1.5
671,2009,Anoka,11.9
672,2009,Becker,2.1
673,2009,Beltrami,1.7
674,2009,Benton,0.5
675,2009,Big Stone,1.8
676,2009,Blue Earth,6.7
677,2009,Brown,8.0
678,2009,Carlton,1.2
679,2009,Carver,7.3
680,2009,Cass,1.2
681,2009,Chippewa,3.5
682,2009,Chisago,7.3
683,2009,Clay,1.1
684,2009,Clearwater,2.3
685,2009,Cook,0.5
686,2009,Cottonwood,2.1
687,2009,Crow Wing,1.4
688,2009,Dakota,4.9
689,2009,Dodge,3.3
690,2009,Douglas,2.8
691,2009,Faribault,5.0
692,2009,Fillmore,7.6
693,2009,Freeborn,4.0
694,2009,Goodhue,5.7
695,2009,Grant,2.5
696,2009,Hennepin,5.6
697,2009,Houston,5.9
698,2009,Hubbard,1.3
699,2009,Isanti,5.0
700,2009,Itasca,4.4
701,2009,Jackson,2.4
702,2009,Kanabec,1.3
703,2009,Kandiyohi,3.7
704,2009,Kittson,3.8
705,2009,Koochiching,2.0
706,2009,Lac Qui Parle,1.2
707,2009,Lake,0.5
708,2009,Lake of the Woods,1.1
709,2009,Le Sueur,5.2
710,2009,Lincoln,1.2
711,2009,Lyon,1.2
712,2009,Mahnomen,0.97
713,2009,Marshall,3.2
714,2009,Martin,3.6
715,2009,McLeod,4.7
716,2009,Meeker,1.8
717,2009,Mille Lacs,0.5
718,2009,Morrison,2.0
719,2009,Mower,7.7
720,2009,Murray,0.5
721,2009,Nicollet,3.7
722,2009,Nobles,2.6
723,2009,Norman,1.2
724,2009,Olmsted,4.4
725,2009,Otter Tail,4.2
726,2009,Pennington,1.6
727,2009,Pine,21.0
728,2009,Pipestone,1.2
729,2009,Polk,2.1
730,2009,Pope,1.9
731,2009,Ramsey,5.9
732,2009,Red Lake,0.5
733,2009,Redwood,5.9
734,2009,Renville,4.2
735,2009,Rice,9.1
736,2009,Rock,1.6
737,2009,Roseau,2.3
738,2009,Scott,6.8
739,2009,Sherburne,5.3
740,2009,Sibley,4.3
741,2009,St. Louis,4.5
742,2009,Stearns,3.2
743,2009,Steele,5.8
744,2009,Stevens,0.5
745,2009,Swift,2.2
746,2009,Todd,2.1
747,2009,Traverse,1.5
748,2009,Wabasha,4.0
749,2009,Wadena,3.1
750,2009,Waseca,3.7
751,2009,Washington,3.7
752,2009,Watonwan,4.9
753,2009,Wilkin,1.9
754,2009,Winona,15.3
755,2009,Wright,8.6
756,2009,Yellow Medicine,1.2
757,2010,Aitkin,1.1
758,2010,Anoka,11.2
759,2010,Becker,2.1
760,2010,Beltrami,1.7
761,2010,Benton,0.5
762,2010,Big Stone,1.8
763,2010,Blue Earth,6.7
764,2010,Brown,6.8
765,2010,Carlton,1.5
766,2010,Carver,7.3
767,2010,Cass,1.6
768,2010,Chippewa,1.7
769,2010,Chisago,7.0
770,2010,Clay,1.6
771,2010,Clearwater,2.3
772,2010,Cook,0.5
773,2010,Cottonwood,4.6
774,2010,Crow Wing,1.4
775,2010,Dakota,5.1
776,2010,Dodge,3.3
777,2010,Douglas,2.8
778,2010,Faribault,4.9
779,2010,Fillmore,7.6
780,2010,Freeborn,4.0
781,2010,Goodhue,4.1
782,2010,Grant,1.9
783,2010,Hennepin,5.1
784,2010,Houston,5.0
785,2010,Hubbard,1.3
786,2010,Isanti,1.9
787,2010,Itasca,1.4
788,2010,Jackson,0.5
789,2010,Kanabec,1.3
790,2010,Kandiyohi,4.1
791,2010,Kittson,3.8
792,2010,Koochiching,2.0
793,2010,Lac Qui Parle,1.2
794,2010,Lake,0.5
795,2010,Lake of the Woods,1.1
796,2010,Le Sueur,5.2
797,2010,Lincoln,1.2
798,2010,Lyon,1.2
799,2010,Mahnomen,1.7
800,2010,Marshall,3.2
801,2010,Martin,1.9
802,2010,McLeod,4.7
803,2010,Meeker,1.8
804,2010,Mille Lacs,0.5
805,2010,Morrison,2.0
806,2010,Mower,3.8
807,2010,Murray,1.1
808,2010,Nicollet,3.2
809,2010,Nobles,1.2
810,2010,Norman,1.2
811,2010,Olmsted,4.1
812,2010,Otter Tail,4.2
813,2010,Pennington,1.6
