,year,countyServed,max arsenic (ug/L)
275,2002,Freeborn,2.8
276,2002,Goodhue,0.5
277,2002,Grant,34
278,2002,Hennepin,5.9
279,2002,Houston,0.5
280,2002,Hubbard,0.5
281,2002,Isanti,4.17
282,2002,Itasca,3.4
283,2002,Jackson,4.3
284,2002,Kanabec,6.1
285,2002,Kandiyohi,6.2
286,2002,Kittson,0.5
287,2002,Koochiching,12
288,2002,Lac Qui Parle,1.8
289,2002,Lake,0.5
290,2002,Lake of the Woods,2.92
291,2002,Le Sueur,4.5
292,2002,Lincoln,1.8
293,2002,Lyon,1.92
294,2002,Mahnomen,9.5
295,2002,Marshall,5.04
296,2002,Martin,6.7
297,2002,McLeod,43
298,2002,Meeker,17
299,2002,Mille Lacs,2.5
300,2002,Morrison,4.5
301,2002,Mower,13
302,2002,Murray,5.2
303,2002,Nicollet,10
304,2002,Nobles,2.26
305,2002,Norman,6.4
306,2002,Olmsted,1.8
307,2002,Otter Tail,36
308,2002,Pennington,2.51
309,2002,Pine,8.83
310,2002,Pipestone,5.1
311,2002,Polk,36
312,2002,Pope,11.9
313,2002,Ramsey,5.97
314,2002,Red Lake,1.2
315,2002,Redwood,4.7
316,2002,Renville,23
317,2002,Rice,6.48
318,2002,Rock,3.27
319,2002,Roseau,8.9
320,2002,Scott,1.73
321,2002,Sherburne,1.96
322,2002,Sibley,17
323,2002,St. Louis,4
324,2002,Stearns,28
325,2002,Steele,1.1
326,2002,Stevens,2.81
327,2002,Swift,8.9
328,2002,Todd,6
329,2002,Traverse,38
330,2002,Wabasha,0.5
331,2002,Wadena,17
332,2002,Waseca,6.43
333,2002,Washington,16.3
334,2002,Watonwan,15
335,2002,Wilkin,2.3
336,2002,Winona,1.79
337,2002,Wright,19
338,2002,Yellow Medicine,29
339,2003,Aitkin,4.4
340,2003,Anoka,12
341,2003,Becker,29
342,2003,Beltrami,3.97
343,2003,Benton,1.9
344,2003,Big Stone,12
345,2003,Blue Earth,7.49
346,2003,Brown,4.83
347,2003,Carlton,3.19
348,2003,Carver,8.31
349,2003,Cass,44
350,2003,Chippewa,4.66
351,2003,Chisago,5.5
352,2003,Clay,37
353,2003,Clearwater,2.6
354,2003,Cook,4.22
355,2003,Cottonwood,2.9
356,2003,Crow Wing,8.17
357,2003,Dakota,2.59
358,2003,Dodge,0.5
359,2003,Douglas,9.22
360,2003,Faribault,15
361,2003,Fillmore,1.13
362,2003,Freeborn,9.28
363,2003,Goodhue,0.5
364,2003,Grant,25.5
365,2003,Hennepin,6.46
366,2003,Houston,0.5
367,2003,Hubbard,0.5
368,2003,Isanti,4.17
369,2003,Itasca,3.4
370,2003,Jackson,2.29
371,2003,Kanabec,6.1
372,2003,Kandiyohi,6.2
373,2003,Kittson,1.06
374,2003,Koochiching,16
375,2003,Lac Qui Parle,1.8
376,2003,Lake,0.5
377,2003,Lake of the Woods,2.92
